condition,tautology,negPresent,neg,OOV,length,addTo
47,诸葛亮尽管大权在握，但仍尽心竭力。,n,n,竭力,14,prem
48,来自太平洋的台风登陆过浙江省海宁市。,n,n,海宁,16,prem
49,真的是真的。,n,n,n,6,prem
50,布什不是女的。,y,不,n,6,hypo
51,上海不是中国首都。,y,不,n,8,hypo
52,太阳不是从西边升起的。,y,不,n,10,hypo
53,美国总统不是日本人选举的。,y,不,n,12,hypo
54,毛泽东是不会把兵权交给美国的。,y,不,n,14,hypo
55,刚做完手术出院的病人不应剧烈运动。,y,不,n,16,hypo
56,婴儿不会插秧。,y,不,插秧,6,hypo
57,人不可以死而复生。,y,不,死而复生,8,hypo
58,秦始皇不是唐朝的皇帝。,y,不,秦始皇,10,hypo
59,芬兰不是安理会常任理事国。,y,不,芬兰,12,hypo
60,特朗普不愿意在总统大选中屈服。,y,不,屈服,14,hypo
61,再聪明的猪也是猪，不可能会写毛笔字。,y,不,毛笔,16,hypo
62,猪没有长翅膀。,y,没,n,6,hypo
63,一千年前没有美国。,y,没,n,8,hypo
64,贾宝玉没娶林黛玉为妻。,y,没,n,10,hypo
65,2015年世界还没有新冠疫情。,y,没,n,12,hypo
66,中国没有和南美国家发生过战争。,y,没,n,14,hypo
67,中国球员从来没有得过世界足球先生。,y,没,n,16,hypo
68,巴林没伊朗大。,y,没,巴林,6,hypo
69,北极熊没吃过企鹅。,y,没,企鹅，北极熊（but we have 北极and熊）,8,hypo
70,文莱还没参加过世界杯。,y,没,文莱,10,hypo
71,恐龙从来没有在二叠纪出现。,y,没,二叠纪,12,hypo
72,诸葛亮尽管大权在握，但没有篡位。,y,没,篡位,14,hypo
73,来自太平洋的台风从没登陆过海参崴。,y,没,海参崴,16,hypo
74,真的不是假的。,y,不,n,6,hypo
75,希拉里是女的。,n,n,n,6,hypo
76,华盛顿是美国首都。,n,n,n,8,hypo
77,太阳总是从东边升起来。,n,n,n,10,hypo
78,美国总统是美国人选举出的。,n,n,n,12,hypo
79,韩国人应该会把兵权交给美国的。,n,n,n,14,hypo
80,刚做完手术出院的病人应该尽量休息。,n,n,n,16,hypo
81,水稻需要插秧。,n,n,插秧,6,hypo
82,耶稣可以死而复生。,n,n,死而复生,8,hypo
83,秦始皇是秦朝的皇帝。,n,n,秦始皇,10,hypo
84,英国是世卫组织的成员国。,n,n,世卫组织,12,hypo
85,麦凯恩在总统大选中曾经失利。,n,n,麦凯恩,14,hypo
86,北宋著名文学家苏东坡会写毛笔字。,n,n,苏东坡,16,hypo
87,鸟类都有翅膀。,n,n,n,6,hypo
88,百年前就有美国了。,n,n,n,8,hypo
89,贾宝玉娶了薛宝钗为妻。,n,n,n,10,hypo
90,2020年世界上有了新冠疫情。,n,n,n,12,hypo
91,英国曾经和南美国家发生过战争。,n,n,n,14,hypo
92,葡萄牙球员曾经得过世界足球先生。,n,n,n,16,hypo
93,伊朗比巴林大。,n,n,巴林,6,hypo
94,北极熊吃过海豹。,n,n,海豹,8,hypo
95,科特迪瓦参加过世界杯。,n,n,科特迪瓦,10,hypo
96,恐龙曾经在白垩纪时代出现过。,n,n,白垩纪,12,hypo
97,诸葛亮尽管大权在握，但仍尽心竭力。,n,n,竭力,14,hypo
98,来自太平洋的台风登陆过浙江省海宁市。,n,n,海宁,16,hypo
99,真的是真的。,n,n,n,6,hypo
